DETAILED PROJECT REPORT (DPR) ACTIVITY SCHEDULE,,,,,,
,,,,,,
Sr No.,Activity Description ,Reference,Volume,Annexure,Status of activity,Estimated or Actual Date of Completion
,,,,,,
1,Draft / Final Inception Report incl. QAP                                                                                       ,,,,,"(Approved By: CE, PWD / CE, BRO in Consulation with RO,MoRT&H)"
►,Reconnaissance Survey ,,,,,
,"Collection of Exisitng Road details e.g. CW width Details,  Builtup areas Detail, Junctions details (e.g. Types, Width, Category etc..)",-,-,-,-,-
,"Collection of Exisitng CD Structure, Bridges & Structures details (e.g. Types, Size, Span etc..)",,,,,
►,Subnission & Approval,,,,,
,Prepration & Submission of Draft Inception Report incl. QAP,-,-,-,,-
,"Comments from Concern approval authority & Its Compliance, if any",-,-,-,,-
,Approval of Draft Inception Report incl. QAP,-,-,-,,-
,Prepration & Submission of Final Inception Report incl. QAP,-,-,-,,-
,RA Bill (On submission of Final Inception Report incl. QAP),-,-,-,,-
,Approval of Final Inception Report incl. QAP,-,-,-,,-
2,Draft Feasibility Report,,,,,"(Approved By: AS/ADG/CE-cordinator, MoRT&H)"
►,Reconnaissance Survey,,,,,
,Existing Road Inventory & Pavement Condition Survey,IRC:SP:19,-,-,-,-
,"Inventory & Condition Survey for Existing Bridges, Culverts & Structures",IRC:SP:35,-,-,-,-
,Inventory for Existing Pavement composition,-,-,-,-,-
,"Traffic surveys & Analysis (TVC/ATCC, OD survey, Axle load, Turning movement, Speed-Delay etc..)",-,-,-,-,-
,Collection of Accident data (FIR) from the Police Station,-,-,-,-,-
,"Collection & Testing of Various materials (e.g. Cement, Steel, Aggregates, Bitumen) & Borrow area soil",-,-,-,-,-
,Collection of Soil Sample by Digging test Pits adjacent to road along the Existing road,-,-,-,-,-
--,Detailed Topographic Survey & Alignment Design,,,,,
,Taking Longitudinal and Cross sections of existing road and Collection of Existing Utilities details and Road side affeccted structures etc.,-,-,-,-,-
,Geometric Design of proposed Alignment (Horizontal & Verticle),-,-,-,-,-
►,Report Preparation,,,,,
►,Main Report,,,,,
--,Executive summary & Introduction,-,Volume-1,-,-,-
--,Socio Economic Profile,-,Volume-1,-,-,-
--,Existing alignment & Proposed provision of Roads & Structures,-,Volume-1,-,-,-
--,Summary of Traffic survey & Analysis,-,Volume-1,-,-,-
--,Summary of Site Investigation,-,Volume-1,-,-,-
--,Environmental Impact Assesement,-,Volume-1,-,-,-
--,Social Impact Assesement,-,Volume-1,-,-,-
--,Cost Estimates (Tentative/Preliminary) (Based on Preliminary Rate analysis),,,,,
,"Cost estimate of Main Road, Service road, Protection walls, Toll Plaza, Traffic signs & Safety measures, Bridges, Culvert & Structures",-,Volume-1,-,-,-
--,Viability and Financing Options,,,,,
,Economic Analysis,IRC SP:30-2009,Volume-1,-,-,-
,Financial Analysis (On base of The Gazette of India : Extraordinary (Regd. No. 33004/99)),-,Volume-1,-,-,-
►,Annexures,,,,,
--,Existing details along the road,,,,,
,Details of Existing Utilities services ,-,Volume-2,Annexure-1,-,-
,Details of Existing Road side affeccted structures ,-,,Annexure-2,-,-
,Details of Existing Religious structures,-,,Annexure-3,-,-
--,Traffic survey & Analysis,,,,,
,Classified Traffic Volume count survey,IRC SP:19,Volume-2,Annexure-4,-,-
,Axle Load Survey,IRC SP:19,,Annexure-5,-,-
,Origin & Destination survey,IRC: 102,,Annexure-6,-,-
,Intersection Volume Count (Turning movement survey),IRC SP:41,,Annexure-7,-,-
,Speed-Delay Survey,IRC: 102,,Annexure-8,-,-
,Pedestrian / Animal Cross traffic Count,-,,Annexure-9,-,-
,Truck Terminal survey,-,,Annexure-10,-,-
--,Accident Analysis,,,,,
,Analysis of Accident data,-,Volume-2,Annexure-11,-,-
--,Pavement Condition survey,,,,,
,Existing Pavement Composition & Existing Pavement Condition,-,Volume-2,Annexure-12,-,-
--,Pavement Investigation,,,,,
,Pavement Roughness (BI/NSV),IRC SP:16,Volume-2,Annexure-13,-,-
,Pavement Structural Strenth (BBD / FWD),IRC:81 / IRC:115 & 117,,Annexure-14,-,-
--,Pavement Design,,,,,
,Initial Composition of Pavement for CC & BT roads,IRC:37 & 58,Volume-2,Annexure-15,-,-
--,Subgrade Characteristics and Strength ,,,,,
,"Result of In-situ density, moisture content and Field CBR of Each test Pits",IS:2720,Volume-2,Annexure-16,-,-
,Result of Grain size and Atterberg Limits of Each test Pits,IS:2720,,,-,-
,"Result of Laboratory density, moisture content and CBR of Each test Pits",IS:2720,,,-,-
--,"Inventory & Condition Survey for Bridges, CD works & Structures",,,,,
,Summary of Inventory & Condition survey for CD works,-,Volume-2,Annexure-18,-,-
,Summary of Inventory & Condition survey for Bridges,-,,Annexure-19,-,-
,Summary of Inventory & Condition survey for Structures,-,,Annexure-20,-,-
--,Preliminary land acquisition,,,,,
,Details of Preliminary land acquisition (Area & Cost of Land to be acquired),-,Volume-2,Annexure-21,-,-
►,Alignment Drawing,,,,,
,"Preparation & Submission of Proposed alignment layout showing Existing & Proposed ROW, (Including Location of Bus bay with shelter, Truck lay bay & Toll plaza)",-,Volume-3,-,-,-
►,Submission & Approval,,,,,
,Submission of Draft Feasibility Report,-,-,-,-,-
,"Comments from Concern approval authority & Its Compliance, if any ",-,-,-,-,-
,Approval of Draft Feasibility Report,-,-,-,-,-
3,Final Alignment Report / Final Feasibility Report,,,,,"(Approved By: AS/ADG/CE-cordinator, MoRT&H)"
►,Approval of Alignment from Concern Authority,,,,,
,Presentations infront of Concern Approval Authority for Alignment Approval,-,-,-,-,-
,Approval of Proposed Alignment,-,-,-,-,-
►,Submission & Approval,,,,,
,Prepration & Submission of Final Feasibility Report,-,-,-,-,-
,RA Bill (On Submission of Final Feasibility Report),-,-,-,-,-
,Approval of Final Feasibility Report,-,-,-,-,-
,Preparation & Submission of Final Alignment Report,-,-,-,-,-
,RA Bill (On Submission of Final Alignment Report),-,-,-,-,-
,Approval of Final Alignment Report,-,-,-,-,-
4,Detailed Project Report (DPR),,,,,"(Approved By: AS/ADG/CE-cordinator, MoRT&H)"
►,Reconnaissance Survey & Miscellaneous Activities,,,,,
,Topography Survey / Dron survey on Proposed Bypass & Realignment / Proposed approved Alignment,-,-,-,-,-
,"Shifting & Finalization of Horizontal alignment for Minimize major demolistion of existing structure, if any",-,-,-,-,-
,Preparation & Verification on site for Final list of Demolisition of Existing Structures on new alignment,-,-,-,-,-
,Preparation of Final Pavement design report ,-,-,-,-,-
,Finalisation of Lane Configuration and Preparation of Final TCS,-,-,-,-,-
,Prepare Final list of proposed strutures (incl. Nos. & Length of Bore reqd. Its Coordinate & RL for geo technical investigation ),-,-,-,-,-
